id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18686283,Home in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 bath,126087738,Priyanka,,Mid-City,29.97131,-90.09199,Entire home/apt,71,30,387,2023-08-28,5.07,1,148,59,"19STR-25294, 20-OSTR-0929"
18703340,Home in New Orleans · ★4.83 · 3 bedrooms · 3 beds · 2 baths,56280626,Patch,,St. Claude,29.96734,-90.03805,Entire home/apt,550,30,6,2018-06-11,0.09,2,0,0,17STR-09949
18710318,Rental unit in New Orleans · ★4.93 · 2 bedrooms · 3 beds · 1 bath,50541111,Daniel,,Central Business District,29.95189,-90.07022,Entire home/apt,128,30,41,2019-03-25,0.54,1,0,0,17STR-10079
18734371,Home in New Orleans · ★4.92 · 4 bedrooms · 4 beds · 2 baths,130304735,Tetiana,,Seventh Ward,29.97138,-90.06284,Entire home/apt,429,3,107,2023-05-29,1.43,1,229,10,"20RSTR-25085, 20-OSTR-00420"
18734931,Home in New Orleans · ★4.62 · 2 bedrooms · 2 beds · 2 baths,41950697,Damian And Julie,,Leonidas,29.95503,-90.13035,Entire home/apt,86,30,41,2023-08-16,0.55,1,1,1,City registration pending
18737720,Home in New Orleans · ★4.92 · 1 bedroom · 2 beds · 1 bath,3896863,Susanna And Ricki,,St. Claude,29.96319,-90.03394,Entire home/apt,141,1,74,2020-03-12,0.98,1,96,0,"18STR-02381, 20-OSTR-21082"
18747630,Home in New Orleans · ★4.76 · 2 bedrooms · 2 beds · 1 bath,130421946,Carol,,Behrman,29.93078,-90.03492,Entire home/apt,150,3,25,2023-04-30,0.33,1,355,4,"19STR-11621, 19-OSTR-0000"
18753770,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,91885375,Chad,,Lower Garden District,29.93785,-90.07402,Private room,150,30,35,2021-03-01,0.47,1,0,0,City registration pending
18755557,Home in New Orleans · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,130485266,Keith,,Tulane - Gravier,29.96244,-90.08159,Private room,90,30,86,2023-04-23,1.13,4,84,6,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18755643,Home in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 private bath,130485266,Keith,,Tulane - Gravier,29.96367,-90.08023,Private room,99,2,25,2023-04-23,0.33,4,84,12,"22-rstr-04007, 23-ostr-05277"
18767175,Home in New Orleans · ★5.0 · 1 bedroom · 1 bed · 1 private bath,24362726,Kyle,,Bayou St. John,29.97845,-90.08696,Private room,84,30,55,2023-03-11,0.81,1,163,1,"18STR-02433, 20-OSTR-02838"
